Day,Hour,Average_Wait_Time_Minutes,Utilization_Rate,Students_Present,Equipment_Availability,
Wednesday,22.00,2.809594921,0.477868352,71.00,0.578984489,
Wednesday,23.00,2.450244907,0.308,53.00,0.630609652,
Thursday,6.00,4.792116627,0.486961959,52.00,0.550182258,
Thursday,7.00,3.488662629,0.594806312,87.00,0.331918003,
Thursday,8.00,7.913203862,0.508127409,78.00,0.28,
Thursday,9.00,3.525293575,0.66240559,68.00,0.387693439,
Thursday,10.00,2.506368446,0.456878833,67.00,0.528291674,
Thursday,11.00,5.064959432,0.430565727,71.00,0.540044381,
Thursday,12.00,12.58174877,0.877966267,122.00,0.101284608,
Thursday,13.00,12.87175154,0.818104301,127.00,0.04,
Thursday,14.00,0.070,0.486344556,89.00,0.591752937,
Thursday,15.00,1.635098132,0.280794758,73.00,0.545970839,
Thursday,16.00,4.181408436,0.461529872,63.00,0.697931272,
Thursday,17.00,14.98774008,0.904075479,127.00,0.050823164,
Thursday,18.00,16.98026579,0.884624567,137.00,0.09,
Thursday,19.00,17.43797172,0.96201796,111.00,0.013675611,
Thursday,20.00,5.816738292,0.38912892,44.00,0.51651907,
Thursday,21.00,5.529250574,0.3079787,50.00,0.516659625,
Thursday,22.00,0.497620253,0.331567266,41.00,0.53,
Thursday,23.00,2.290,0.381746185,39.00,0.612666797,
Friday,6.00,0.341842342,0.477803371,47.00,0.583415843,
Friday,7.00,7.91166471,0.562238641,64.00,0.384789366,
Friday,8.00,9.752,0.691569454,93.00,0.39098803,
Friday,9.00,7.530109692,0.567,81.00,0.380556178,
Friday,10.00,2.711973305,0.58166056,53.00,0.587530496,
Friday,11.00,3.685275963,0.437356244,79.00,0.584003577,
Friday,12.00,9.990065693,0.914021868,138.00,0.143477766,
Friday,13.00,11.5026883,0.783035285,118.00,0.184310034,
Friday,14.00,1.364663401,0.315364244,57.00,0.481013751,
Friday,15.00,4.046436883,0.407331023,38.00,0.532569624,
Friday,16.00,2.614770028,0.494913561,60.00,0.643436323,
Friday,17.00,13.963,0.913760145,127.00,0.07,
Friday,18.00,15.28485117,0.97412313,147.00,0.00,
Friday,19.00,13.97931425,0.875222857,141.00,0.06,
Friday,20.00,0.000,0.458773046,62.00,0.558987578,
Friday,21.00,0.919674238,0.621903468,58.00,0.540585157,
Friday,22.00,1.19998286,0.3568998,45.00,0.530334457,
Friday,23.00,1.084836322,0.655646734,36.00,0.493583473,
Saturday,6.00,1.197171143,0.417349128,43.00,0.68,
Saturday,7.00,0.026392221,0.355929113,73.00,0.60161278,
Saturday,8.00,2.839135352,0.370692752,17.00,0.62,
Saturday,9.00,4.262303811,0.363507767,32.00,0.684538864,
Saturday,10.00,9.041754109,0.786005073,110.00,0.19406522,
Saturday,11.00,11.57965607,0.64924912,86.00,0.205858551,
Saturday,12.00,1.307819932,0.360940316,38.00,0.687240966,
Saturday,13.00,2.502928368,0.280520178,61.00,0.708053418,
Saturday,14.00,1.802630606,0.328501696,24.00,0.62962437,
Saturday,15.00,9.417,0.774537941,102.00,0.262201347,
Saturday,16.00,13.06818058,0.69700859,98.00,0.184541734,
Saturday,17.00,1.982679067,0.448,24.00,0.616707152,
Saturday,18.00,2.071881005,0.435010288,54.00,0.666273181,
Saturday,19.00,1.551374428,0.398187426,63.00,0.564550411,
Saturday,20.00,3.457070802,0.340124019,41.00,0.527846211,
Saturday,21.00,0.000,0.519805899,39.00,0.595761561,
Saturday,22.00,1.087148088,0.275485278,50.00,0.725848684,
Saturday,23.00,0.826768098,0.365429005,32.00,0.726008322,
Sunday,6.00,2.378,0.242,61.00,0.709999382,
Sunday,7.00,2.322912727,0.186060303,73.00,0.665506126,
Sunday,8.00,4.340908595,0.294910679,43.00,0.655522655,
Sunday,9.00,4.227,0.364299003,31.00,0.66309946,
Sunday,10.00,13.25906839,0.756580628,106.00,0.19,
Sunday,11.00,7.194021825,0.686230786,100.00,0.26,
Sunday,12.00,2.331913949,0.510190765,49.00,0.703221134,
Sunday,13.00,1.921341331,0.494890361,22.00,0.620063412,
Sunday,14.00,3.966066793,0.332840399,62.00,0.669253305,
Sunday,15.00,11.89175397,0.811306773,114.00,0.324622769,
Sunday,16.00,11.97294804,0.849,105.00,0.22090749,
Sunday,17.00,0.680879823,0.42509446,14.00,0.584641091,
Sunday,18.00,0.073,0.325237862,12.00,0.712936065,
Sunday,19.00,3.200350473,0.54845824,63.00,0.701518967,
Sunday,20.00,6.501352062,0.293,27.00,0.64,
Sunday,21.00,0.350015892,0.324315464,34.00,0.678394003,
Sunday,22.00,3.025965699,0.347307741,53.00,0.642897464,
Sunday,23.00,3.504067337,0.356964075,45.00,0.696479223,
